false(none)|54 64 113 133|gene(gene) disease(disease)|这些结果表明HIF-1α中的C1772T多态性不参与结肠直肠癌的进展或转移。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
false(none)|16 29 139 142|disease(disease) gene(gene)|在我们的设置中，酒精个体中的铁超负荷似乎独立于HFE基因中突变C282Y，H63D和S65C的存在。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
true(none)|35 44 73 88|disease(disease) gene(gene)|MPO基因型GG与遗传性血色素沉着病患者的肝硬化有关。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
false(none)|86 89 141 163|gene(gene) disease(disease)|这三项研究没有提供一致的证据支持HFE突变与心血管疾病的风险增加和动脉硬化的发展相关的假说。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
true(none)|63 66 110 113|gene(gene) disease(disease)|我们的前瞻性研究结果表明携带HFE C282Y突变的个人可能增加CHD的风险。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
false(none)|107 123 225 229|disease(disease) gene(gene)|我们得出的结论G1514  - > A突变的纯合性专门负责这个家庭的桑德霍夫病的成人形式，并且A619  - > G替代不是有害的突变，而是一个常见的HEXB多态性。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
true(none)|26 32 93 109|gene(gene) disease(disease)|数据表明HCRTR2基因或连锁的基因座显着调节簇性头痛的风险。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
true(none)|15 20 79 91|gene(gene) disease(disease)|新型基因HCCA2可能与肝癌的浸润和增殖相关。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
true(none)|54 59 97 103|gene(gene) disease(disease)|我们的研究结果表明TIM-1，而不是TIM-3基因的遗传变异有助于哮喘的易感性在这个非裔美国人口。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
true(none)|41 45 96 111|gene(gene) disease(disease)|总之，GYS1基因的M416V多态性与2型糖尿病的胰岛素抵抗无关。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
false(none)|38 44 78 98|gene(gene) disease(disease)|我们没有发现GUCA1B，GNGT1或RGS9基因突变是视网膜色素变性的证据。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
true(none)|31 36 92 106|gene(gene) disease(disease)|这些结果表明GSTT1空基因型可能与增加的胃癌的风险相关。||gad_y_n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
